filename,concept,k,column,notes,"understood(yes=1,no=0)","exists(yes=1,no=0)","clear(yes=1,vague=0)"
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,"Has something related to continent, maybe sold",0,0,0
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,0,0,0
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,0,0,0
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,0,0,0
57938705_0_8737506792349461963.tar.gz,VideoGame,0,no idea,,0,0,0
58891288_0_1117541047012405958.tar.gz,Film,0,Rank,,1,0,0
58891288_0_1117541047012405958.tar.gz,Film,2,released,,1,,
58891288_0_1117541047012405958.tar.gz,Film,0,overall rank,,1,0,0
5972322_0_3150366936082777235.tar.gz,Election,5,votes,,1,,
5972322_0_3150366936082777235.tar.gz,Election,3,number of seats,,1,,
61069974_0_1894536874590565102.tar.gz,Currency,1,iso number ,,1,,
61626303_0_266372209664087642.tar.gz,RadioStation,1,frequencies,,1,,
61626303_0_266372209664087642.tar.gz,RadioStation,3,frequencies,,1,,
61753761_9_4735181228515289890.tar.gz,Museum,0,rang (some kind of order or sequest),,1,0,0
61753761_9_4735181228515289890.tar.gz,Museum,0,number of facebook fans,,1,0,1
64499281_8_7181683886563136802.tar.gz,Museum,0,rang (some kind of order or sequest),,1,0,0
64499281_8_7181683886563136802.tar.gz,Museum,0,facebook fans  ,,1,0,1
64734047_0_5880705307495695536.tar.gz,Hospital,0,number of patients,,1,0,1
66009064_0_9148652238372261251.tar.gz,BaseballPlayer,0,"It is a year, but I have no idea what it represents. Nonetheless it is classified as a year",,0,0,0
66329615_0_3585856495110277641.tar.gz,VideoGame,1,released,,1,,
67865873_0_8259587610208037357.tar.gz,Country,2,population,,1,,
6869358_0_1379459120563510331.tar.gz,Novel,0,rank,Very few properties and subjects,1,0,0
6869358_0_1379459120563510331.tar.gz,Novel,0,publication year,Very few properties and subjects,1,0,1
68779923_0_3859283110041832023.tar.gz,Country,7,founding/independence year,,1,,
68779923_1_3240042497463101224.tar.gz,Country,5,independent year,,1,,
68779923_2_1000046510804975562.tar.gz,Country,1,year of change,"maybe, I need to check the year deputy",1,,
68779923_5_2067037721454758189.tar.gz,Country,1,declared/ deputy,,1,,
69381058_0_984708047398578866.tar.gz,Mountain,0,height in thousands of meters,"everest height is not in dbpedia: select ?p ?o where{<http://dbpedia.org/resource/Mount_Everest> ?p ?o}",1,0,1
69537082_0_7789694313271016902.tar.gz,Country,3,population rank,,1,,
69537082_0_7789694313271016902.tar.gz,Country,2,population,,1,,
69881946_0_1105130426898457358.tar.gz,Film,0,Fans' rank,,1,0,1
69881946_0_1105130426898457358.tar.gz,Film,1,years,,1,,
69881946_0_1105130426898457358.tar.gz,Film,0,overall rank,,1,0,0
70404164_0_5498195978476333642.tar.gz,City,0,world rank,,0,0,0
70404164_0_5498195978476333642.tar.gz,City,4,city population   ,,1,,
70404164_0_5498195978476333642.tar.gz,City,3,population metro,,1,,
70883081_0_5357790421435123524.tar.gz,PoliticalParty,0,no idea,,0,0,0
70883081_0_5357790421435123524.tar.gz,PoliticalParty,0,no idea,,0,0,0
70883081_0_5357790421435123524.tar.gz,PoliticalParty,0,no idea,,0,0,0
72017594_0_7055198579167316152.tar.gz,Museum,1,number of visitors 2009,,1,,
72017594_0_7055198579167316152.tar.gz,Museum,1,number of visitors 2010,,1,,
72017594_0_7055198579167316152.tar.gz,Museum,0,no idea,,0,0,0
73242003_5_4847571983313033360.tar.gz,VideoGame,0,rank,,1,0,0
73988811_0_2775758476756716904.tar.gz,Film,1,"release date, we considered first aired to be an accebtable guess ",,1,,
75154185_0_1607627349983289012.tar.gz,City,0,"World rank, but no idea what is this",,0,0,0
75154185_0_1607627349983289012.tar.gz,City,4,city population   ,,1,,
75154185_0_1607627349983289012.tar.gz,City,2,population metro,,1,,
76275868_0_4528346580716713695.tar.gz,Country,2,population  ,,1,,
76275868_0_4528346580716713695.tar.gz,Country,0,life expentency in years,,1,0,1
76275868_0_4528346580716713695.tar.gz,Country,0,IQ level,,1,0,1
76373906_0_6904594838446307331.tar.gz,PoliticalParty,0,I don't know,,0,0,0
76373906_0_6904594838446307331.tar.gz,PoliticalParty,0,I don't know,,0,0,0
76373906_0_6904594838446307331.tar.gz,PoliticalParty,0,I don't know,,0,0,0
77632062_0_2292892375652659825.tar.gz,City,0,World rank of something that is not clear,,0,0,0
77632062_0_2292892375652659825.tar.gz,City,4,city population   ,,1,,
77632062_0_2292892375652659825.tar.gz,City,2,population metro,,1,,
77694908_0_6083291340991074532.tar.gz,Film,0,Fans' rank,,1,0,1
77694908_0_6083291340991074532.tar.gz,Film,2,Release date,,1,,
77694908_0_6083291340991074532.tar.gz,Film,0,overall rank,,1,0,0
78891639_0_3299957631631122948.tar.gz,City,0,world rank,,1,0,0
78891639_0_3299957631631122948.tar.gz,City,4,city population   ,,1,,
78891639_0_3299957631631122948.tar.gz,City,2,population metro,,1,,
8009320_0_5507755752653817624.tar.gz,Country,1,population density,,1,,
8009320_0_5507755752653817624.tar.gz,Country,1,area,,1,,
8009320_0_5507755752653817624.tar.gz,Country,2,population,,1,,
80588006_0_6965325215443683359.tar.gz,Newspaper,0,no idea,,0,0,0
84548468_0_5955155464119382182.tar.gz,Film,0,fans' rank,,1,0,1
84548468_0_5955155464119382182.tar.gz,Film,3,release date,,1,,
84548468_0_5955155464119382182.tar.gz,Film,0,overall rank,,1,0,0
84575189_0_6365692015941409487.tar.gz,AcademicJournal,0,number of citations,,1,0,1
8468806_0_4382447409703007384.tar.gz,Lake,0,rang (some kind of order or sequest),,0,0,0
8468806_0_4382447409703007384.tar.gz,Lake,6,area,,1,,
8468806_0_4382447409703007384.tar.gz,Lake,0,no idea,,0,0,0
8468806_0_4382447409703007384.tar.gz,Lake,0,depth,,1,0,1
86297395_0_6919201319699354263.tar.gz,Country,1,area,,1,,
86297395_0_6919201319699354263.tar.gz,Country,2,population,,1,,
86627271_6_2239821927452848323.tar.gz,Lake,2,area total,classified as areaOfCatchment,1,,
86627271_6_2239821927452848323.tar.gz,Lake,2,area net,classified as areaOfCatchment,1,,
86627271_6_2239821927452848323.tar.gz,Lake,2,altitude/ elevation,classified as height,1,,
88353875_0_4876234304797064286.tar.gz,Mountain,0,elevation in m,,1,1,1
88353875_0_4876234304797064286.tar.gz,Mountain,4,height in ft,,1,,
88732174_0_7321365014357502211.tar.gz,BaseballPlayer,1,year  ,,1,,
88732174_0_7321365014357502211.tar.gz,BaseballPlayer,4,squad number,,1,,
88732174_0_7321365014357502211.tar.gz,BaseballPlayer,0,war in respect to the team,,1,0,1
89511064_0_2199624509082573904.tar.gz,Country,0,iso number, this file should be currency not country,1,0,1
90593344_0_8311455501234425088.tar.gz,Mountain,4,height/elevation ft,,1,,
90593344_0_8311455501234425088.tar.gz,Mountain,0,elevation m,,1,1,1
90723763_0_874013697986950454.tar.gz,Company,0,rating,,1,0,0
90723763_0_874013697986950454.tar.gz,Company,0,Company TCSR vs the industry (no idea what that means),,1,0,0
91474256_0_964747655387573523.tar.gz,City,0,world rank,,0,0,0
91474256_0_964747655387573523.tar.gz,City,4,city population   ,,1,,
91474256_0_964747655387573523.tar.gz,City,2,population metro,,1,,
91959037_0_7907661684242014480.tar.gz,VideoGame,10,reviews,,1,,
91959037_0_7907661684242014480.tar.gz,VideoGame,0,reviews average,,1,0,1
9206866_1_8114610355671172497.tar.gz,Country,0,gni,,1,0,1
9206866_1_8114610355671172497.tar.gz,Country,2,population,,1,,
92896255_0_4593968708343548527.tar.gz,Plant,0,number of seeds,,1,0,1
9475172_1_1023126399856690702.tar.gz,TelevisionShow,1,series,,1,,
9567241_0_5666388268510912770.tar.gz,Newspaper,0,No idea,,0,0,0
97941125_0_8220652154649529701.tar.gz,Currency,1,iso number,,1,,
9834884_0_3871985887467090123.tar.gz,Museum,0,"score, no idea what kind of score",,0,0,0
98458255_0_5873264818593370400.tar.gz,AcademicJournal,0,embargo period in months,,1,0,1
99070098_0_2074872741302696997.tar.gz,Mountain,4,elevation,,1,,
99070098_0_2074872741302696997.tar.gz,Mountain,0,"it is elevation , but in meters. Eventhough there was no elevation in the top 10, the first suggested property is prominence, which is similar to elevation, but counted differently.",,1,1,1
99070098_0_2074872741302696997.tar.gz,Mountain,0,no idea,,0,0,0
99070098_0_2074872741302696997.tar.gz,Mountain,0,number of trips,,1,0,1
